total_revenue,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,date,symbol,ebit,ebitda,gross_income,total_assets,cash_only,total_liabilities,total_debt,total_equity,stockholders_equity,total_current_liabilities,cash_and_short_term_investments,total_cash_and_due_from_banks,total_non_current_assets,net_operating_cash_flow,free_cash_flow
50700000000.0,20890000000.0,0.0,22060000000.0,-254110000.0,21810000000.0,1450000000.0,2019-12-31,VINS.JK,,,,224060000000.0,2140000000.0,37730000000.0,0.0,186330000000.0,186330000000.0,,,,,-5900000000.0,-7210000000.0
41730000000.0,7420000000.0,,6350000000.0,-135850000.0,6210000000.0,1460000000.0,2020-12-31,VINS.JK,,,,254940000000.0,4450000000.0,70690000000.0,1550000000.0,184250000000.0,184250000000.0,,,,,505180000.0,-154380000.0
48520000000.0,11540000000.0,,11680000000.0,628780000.0,12310000000.0,1460000000.0,2021-12-31,VINS.JK,,,,292280000000.0,4190000000.0,51680000000.0,973060000.0,240600000000.0,240600000000.0,,,,,14260000000.0,13300000000.0
47120000000.0,8830000000.0,0.0,9150000000.0,-486940000.0,8660000000.0,1460000000.0,2022-12-31,VINS.JK,,,,237320000000.0,6220000000.0,50780000000.0,1140000000.0,186540000000.0,186540000000.0,,,,,23000000000.0,22940000000.0
60480000000.0,7490000000.0,,6280000000.0,200580000.0,6480000000.0,1460000000.0,2023-12-31,VINS.JK,,,,196340000000.0,53550000000.0,42710000000.0,3330000000.0,153630000000.0,153630000000.0,,,,,5500000000.0,5420000000.0
540250000000.0,-7360000000.0,-14890000000.0,-24570000000.0,-6850000000.0,-31410000000.0,200000000.0,2019-12-31,CNTX.JK,-7360000000,31360000000,49840000000,716080000000.0,19200000000.0,755740000000.0,614890000000.0,-39660000000.0,-39660000000.0,514200000000,19200000000,,445670000000,18340000000.0,-9110000000.0
267579999999.0,-64849999999.0,-5730000000.0,-74540000000.0,138480000.0,-74400000000.0,200000000.0,2020-12-31,CNTX.JK,-64849999999,-25570000000,-23730000000,531850000000.0,6200000000.0,642740000000.0,547830000000.0,-110880000000.0,-110880000000.0,606120000000,6200000000,,364840000000,-2450000000.0,-11600000000.0
482490000000.0,-62160000000.0,-4939999999.0,-72500000000.0,-5350000000.0,-77850000000.0,200000000.0,2021-12-31,CNTX.JK,-62160000000,-25200000000,1960000000,573970000000.0,1600000000.0,756290000000.0,584700000000.0,-182320000000.0,-182320000000.0,723880000000,1600000000,,331310000000,-36350000000.0,-47630000000.0
698610000000.0,-11520000000.0,-23670000000.0,-30650000000.0,-182240000.0,-30830000000.0,200000000.0,2022-12-31,CNTX.JK,-11520000000,27940000000,53100000000,596810000000.0,4640000000.0,818480000000.0,674750000000.0,-221670000000.0,-221670000000.0,783920000000,4640000000,,319140000000,-52950000000.0,-61660000000.0
516460000000.0,-46610000000.0,-42290000000.0,-86090000000.0,-4050000.0,-86090000000.0,200000000.0,2023-12-31,CNTX.JK,-46610000000,-8330000000,10600000000,504600000000.0,1160000000.0,829160000000.0,718230000000.0,-324570000000.0,-324570000000.0,791990000000,1160000000,,293630000000,-2860000000.0,-11090000000.0
1780000000000.0,126330000000.0,-75480000000.0,27670000000.0,-6530000000.0,21500000000.0,781250000.0,2019-12-31,PNGO.JK,126330000000,187880000000,308820000000,1460000000000.0,112250000000.0,1010000000000.0,876610000000.0,448390000000.0,446470000000.0,358630000000,112250000000,,1010000000000,171150000000.0,67170000000.0
1510000000000.0,148700000000.0,-73570000000.0,104150000000.0,-22880000000.0,81070000000.0,781250000.0,2020-12-31,PNGO.JK,148700000000,213060000000,317090000000,1430000000000.0,58530000000.0,905650000000.0,753870000000.0,526690000000.0,524570000000.0,294550000000,58530000000,,1010000000000,139410000000.0,66670000000.0
