total_revenue,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,date,symbol,ebit,ebitda,gross_income,total_assets,cash_only,total_liabilities,total_debt,total_equity,stockholders_equity,total_current_liabilities,cash_and_short_term_investments,total_cash_and_due_from_banks,total_non_current_assets,net_operating_cash_flow,free_cash_flow
17320000000,8320000000,0.0,8330000000,-332290000,7990000000,1460000000,2022-12-31,VINS.JK,,,,237320000000.0,6220000000.0,50780000000.0,1140000000.0,186540000000.0,186540000000.0,,,,,16030000000,16480000000.0
15660000000,2830000000,0.0,2670000000,0,2670000000,1460000000,2023-03-31,VINS.JK,,,,210010000000.0,7140000000.0,32200000000.0,722020000.0,177810000000.0,177810000000.0,,,,,-750460000,-752170000.0
18130000000,1070000000,,1100000000,0,1100000000,1460000000,2023-06-30,VINS.JK,,,,178720000000.0,1620000000.0,26270000000.0,495590000.0,152450000000.0,152450000000.0,,,,,2740000000,2740000000.0
17780000000,2040000000,0.0,2210000000,0,2210000000,1460000000,2023-09-30,VINS.JK,,,,233320000000.0,5060000000.0,74660000000.0,263550000.0,158660000000.0,158660000000.0,,,,,-2140000000,-2140000000.0
11880000000,1470000000,,293790000,200580000,494370000,1460000000,2023-12-31,VINS.JK,,,,196340000000.0,53550000000.0,42710000000.0,3330000000.0,153630000000.0,153630000000.0,,,,,5650000000,5570000000.0
20610000000,949680000,,1170000000,0,1170000000,1460000000,2024-03-31,VINS.JK,,,,179750000000.0,51470000000.0,28530000000.0,3370000000.0,151220000000.0,151220000000.0,,,,,3310000000,3310000000.0
15110000000,1270000000,,1370000000,0,1370000000,1460000000,2024-06-30,VINS.JK,,,,175410000000.0,50440000000.0,27570000000.0,3030000000.0,147840000000.0,147840000000.0,,,,,-718140000,-733120000.0
204010000000,-84980000,-8100000000.0,-5770000000,0,-5770000000,200000000,2022-09-30,CNTX.JK,-84980000,9670000000,18940000000,645120000000.0,6340000000.0,873180000000.0,701830000000.0,-228060000000.0,-228060000000.0,829230000000,6340000000,,336160000000,-21080000000,-15410000000.0
174800000000,4130000000,-9590000000.0,-7350000000,-184060000,-7530000000,200000000,2022-12-31,CNTX.JK,4130000000,15370000000,18800000000,596810000000.0,4640000000.0,818480000000.0,674750000000.0,-221670000000.0,-221670000000.0,783920000000,4640000000,,319140000000,830240000,-2690000000.0
139920000000,-5840000000,-9610000000.0,-16110000000,0,-16110000000,200000000,2023-03-31,CNTX.JK,-5840000000,3890000000,9900000000,560630000000.0,8700000000.0,795200000000.0,674760000000.0,-234580000000.0,-234580000000.0,760270000000,8700000000,,309730000000,5540000000,4019999999.0
144030000000,-4099999999,-10920000000.0,-28400000000,0,-28400000000,200000000,2023-06-30,CNTX.JK,-4099999999,5310000000,9550000000,526429999999.0,4990000000.0,800250000000.0,689290000000.0,-273829999999.0,-273829999999.0,766070000000,4990000000,,299750000000,3060000000,-871490000.0
123230000000,-6290000000,-10960000000.0,-17070000000,0,-17070000000,200000000,2023-09-30,CNTX.JK,-6290000000,3180000000,7480000000,510550000000.0,10110000000.0,800170000000.0,682090000000.0,-289630000000.0,-289630000000.0,766770000000,10110000000,,290530000000,10420000000,9030000000.0
108110000000,-30910000000,-10820000000.0,-24580000000,-4130000,-24580000000,200000000,2023-12-31,CNTX.JK,-30910000000,-21250000000,-16930000000,504600000000.0,1160000000.0,829160000000.0,718230000000.0,-324570000000.0,-324570000000.0,791990000000,1160000000,,293630000000,-21890000000,-23270000000.0
112980000000,-13060000000,-11480000000.0,-23510000000,0,-23510000000,200000000,2024-03-31,CNTX.JK,-13060000000,-3100000000,-609750000,522500000000.0,3330000000.0,875900000000.0,753250000000.0,-353400000000.0,-353400000000.0,838790000000,3330000000,,292730000000,-9260000000,-9260000000.0
513750000000,117170000000,-12410000000.0,68990000000,-15770000000,53150000000,781250000,2022-12-31,PNGO.JK,117170000000,133370000000,181810000000,1550000000000.0,72200000000.0,842070000000.0,696220000000.0,708550000000.0,705800000000.0,337120000000,72200000000,,1050000000000,124570000000,126630000000.0
591340000000,86900000000,-10140000000.0,92460000000,-21020000000,71350000000,781250000,2023-03-31,PNGO.JK,86900000000,102970000000,129780000000,1450000000000.0,29790000000.0,673880000000.0,525890000000.0,778440000000.0,775610000000.0,188900000000,29790000000,,1060000000000,151340000000,130539999999.0
463340000000,40520000000,-10090000000.0,25290000000,-6280000000,19000000000,781250000,2023-06-30,PNGO.JK,40520000000,57260000000,87030000000,1410000000000.0,8860000000.0,664190000000.0,529500000000.0,749020000000.0,746190000000.0,204980000000,8860000000,,1100000000000,73480000000,23090000000.0
468270000000,79440000000,-10270000000.0,81870000000,-19190000000,62500000000,781250000,2023-09-30,PNGO.JK,79440000000,95830000000,129280000000,1470000000000.0,8270000000.0,663750000000.0,507530000000.0,810150000000.0,807140000000.0,213360000000,8270000000,,1120000000000,61480000000,25540000000.0
514330000000,84490000000,-10560000000.0,50780000000,-12230000000,38490000000,781250000,2023-12-31,PNGO.JK,84490000000,101950000000,142380000000,1490000000000.0,28710000000.0,692310000000.0,547030000000.0,796840000000.0,793780000000.0,272540000000,28710000000,,1150000000000,77520000000,29310000000.0
430350000000,71000000000,-8950000000.0,76810000000,-17560000000,59080000000,781250000,2024-03-31,PNGO.JK,71000000000,85740000000,110440000000,1500000000000.0,18410000000.0,642360000000.0,496400000000.0,855640000000.0,852410000000.0,236360000000,18410000000,,1170000000000,75370000000,42550000000.0
492940000000,71950000000,-10130000000.0,67260000000,-15810000000,51440000000,781250000,2024-06-30,PNGO.JK,71950000000,88250000000,119880000000,1569999999999.0,31000000000.0,665240000000.0,521260000000.0,906640000000.0,903390000000.0,279670000000,31000000000,,1180000000000,25640000000,-10200000000.0
29070000000,11320000000,,9690000000,-2920000000,6760000000,1440000000,2022-12-31,ROCK.JK,11320000000,19960000000,,1040000000000.0,47690000000.0,267860000000.0,66069999999.0,768430000000.0,768520000000.0,,47690000000,,,20120000000,19210000000.0
26220000000,9300000000,,7240000000,-2800000000,4440000000,1440000000,2023-03-31,ROCK.JK,9300000000,17930000000,,1040000000000.0,59880000000.0,266040000000.0,61070000000.0,772870000000.0,772950000000.0,,59880000000,,,13850000000,13850000000.0
24400000000,1620000000,,-473440000,-2490000000,-2960000000,1440000000,2023-06-30,ROCK.JK,1620000000,10210000000,,1040000000000.0,63440000000.0,268279999999.0,56040000000.0,769900000000.0,769990000000.0,,63440000000,,,9090000000,9090000000.0
27740000000,10430000000,,9840000000,-2450000000,7390000000,1440000000,2023-09-30,ROCK.JK,10430000000,19010000000,,993410000000.0,21830000000.0,216110000000.0,51010000000.0,777300000000.0,777380000000.0,,21830000000,,,13390000000,13350000000.0
28560000000,6540000000,,5870000000,-3020000000,2850000000,1470000000,2023-12-31,ROCK.JK,6540000000,15190000000,,979580000000.0,20960000000.0,187480000000.0,119260000000.0,792100000000.0,792190000000.0,,20960000000,,,18370000000,18090000000.0
30740000000,13940000000,,13350000000,-2630000000,10720000000,1440000000,2024-03-31,ROCK.JK,13940000000,22730000000,,971230000000.0,15220000000.0,168410000000.0,101040000000.0,802820000000.0,802910000000.0,,15220000000,,,12740000000,12500000000.0
29830000000,10930000000,,10260000000,-2610000000,7650000000,1440000000,2024-06-30,ROCK.JK,10930000000,19750000000,,968230000000.0,20170000000.0,157760000000.0,95860000000.0,810470000000.0,810560000000.0,,20170000000,,,10210000000,10140000000.0
1260000000000,-50520000000,-2270000000.0,-15910000000,-14640000000,-30560000000,2500000000,2022-12-31,POLY.JK,-50520000000,-28560000000,32540000000,3550000000000.0,123330000000.0,18250000000000.0,16899999999999.0,-14700000000000.0,-14700000000000.0,17070000000000,123330000000,,1720000000000,75980000000,86650000000.0
